TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
28,1,4,Share,Trivia,Trivia,0.0269999504089,Geography,Culture,Culture,0.516999959946,N/A,0.101000070572,Hawaii is the only U.S. state that was once a kingdom.
29,4,3,Share,Trivia,Trivia,0.34299993515,Film/Movies,Animals,Animals,0.59600019455,N/A,0.0340001583099,An iguana can stay under water for 28 minutes.
30,1,1,Share,Trivia,Trivia,0.288000106812,Science,Science,Science,0.624000072479,N/A,0.0910000801086,"At any given time, there are 1,800 thunderstorms in progress over the earth's atmosphere."
31,3,2,Learn,Trivia,Trivia,0.0409998893738,Culture,Culture,Culture,0.539000034332,N/A,0.479000091553,The White House had a telephone before it had an indoor bathroom
32,1,4,Share,Trivia,Trivia,0.21599984169,Film/Movies,Geography,Geography,1.79399991035,N/A,1.16400003433,Antartica is home to almost all of the world's freshwater.
33,2,2,Learn,Trivia,Trivia,0.069000005722,History,Animals,History,0.459000110626,N/A,0.638999938965,"In 1895 Hampshire police handed out the first ever speeding ticket, fining a man for doing 6mph!"
34,2,1,Share,Learn,Learn,0.440999984741,Do you have hobbies,Do you have an iPhone,Do you have hobbies,1.05900001526,N/A,0.299000024796,I have many hobbies
35,4,3,Share,Learn,Learn,0.251999855042,Do you like canoeing,Do you like to exercise,Do you like to exercise,0.869000196457,N/A,0.223999977112,I absolutely like to exercise
36,2,4,Share,Learn,Learn,0.428999900818,Do you like going to the movies,Do you like tattoos,Do you like going to the movies,0.552999973297,N/A,0.835000038147,I like going to the movies
37,4,1,Learn,Trivia,Trivia,0.118999958038,Animals,Animals,Animals,0.573999881744,N/A,0.392999887466,Slugs have 4 noses.
38,1,4,Learn,Trivia,Trivia,0.363000154495,Film/Movies,Geography,Geography,0.730999946594,N/A,0.782999992371,Angel Falls in Venezuela is the world's highest waterfall.
39,4,4,Learn,Trivia,Trivia,0.344000101089,Animals,Film/Movies,Animals,0.765000104904,N/A,1.03400015831,An eagle can kill a young deer and fly away with it.
40,3,2,Share,Learn,Learn,0.713000059128,Do you like bicycling,Do you have a car,Do you like bicycling,0.798000097275,N/A,1.12000012398,I like bicycling
41,3,1,Learn,Trivia,Trivia,1.04999995232,Culture,History,Culture,0.703999996185,N/A,1.68499994278,The Vatican Bank is the world's only bank that allows ATM users to perform transactions in Latin.
42,4,3,Share,Trivia,Trivia,0.385999917984,Science,Film/Movies,Film/Movies,0.628999948502,N/A,0.916999816895,Paranormal Activity cost $15000 to make and has grossed $210 million so far.
43,3,2,Share,Learn,Learn,0.500999927521,Do you like Japanese comic books (manga),Do you like dessert,Do you like Japanese comic books (manga),1.03499984741,N/A,0.428999900818,I don't like Japanese comic books
44,1,3,Share,Trivia,Trivia,1.96799993515,People,Geography,Geography,1.45700001717,N/A,1.59000015259,South America's Andes is the longest mountain range in the world.
45,3,2,Share,Trivia,Trivia,0.22200012207,Film/Movies,Animals,Animals,0.723999977112,N/A,0.65700006485,A baby octopus is about the size of a flea when it is born.
46,4,1,Share,Learn,Learn,0.457000017166,Do you have good eyesight,Do you have a car,Do you have a car,0.355999946594,N/A,0.160000085831,I have a car
47,2,1,Learn,Trivia,Trivia,0.613000154495,Culture,People,People,1.62800002098,N/A,1.48799991608,An average of 100 people choke to death on ballpoint pens every year.
48,4,1,Share,Learn,Learn,8.99499988556,Do you have a car,Do you like to travel,Do you like to travel,0.684000015259,N/A,1.03299999237,I like to travel
49,4,2,Learn,Trivia,Trivia,0.506000041962,Animals,Film/Movies,Animals,0.679999828339,N/A,0.675999879837,Most elephants weigh less than the tongue of the blue whale.
50,1,3,Learn,Trivia,Trivia,2.6210000515,Animals,History,Animals,0.8140001297,N/A,0.639000177383,Only female mosquitoes bite.
51,1,1,Share,Learn,Learn,1.2349998951,Do you like to exercise,Do you like live music,Do you like live music,1.15000009537,N/A,0.530999898911,I love live music
52,1,1,Share,Learn,Learn,0.452999830246,Do you have hobbies,Do you have a car,Do you have hobbies,0.831000089645,N/A,0.606999874115,I have many hobbies
53,1,1,Learn,Trivia,Trivia,0.155999898911,Science,Culture,Science,0.761999845505,N/A,1.54899978638,"A ""jiffy"" is an actual unit of time: 1/100th of a second."
54,2,2,Learn,Trivia,Trivia,0.72200012207,History,Culture,Culture,0.835000038147,N/A,0.665999889374,Ronald McDonald is “Donald McDonald” in Japan because it makes pronunciation easier for the Japanese.
55,4,3,Share,Learn,Learn,0.702999830246,Do you like tattoos,Do you like hiking,Do you like tattoos,0.81200003624,N/A,0.554000139236,I like tattoos
56,4,2,Share,Learn,Learn,0.799000024796,Do you like camping,Do you like dessert,Do you like camping,1.29700016975,N/A,1.05500006676,I like camping
57,1,1,Share,Trivia,Trivia,0.582000017166,Animals,Animals,Animals,0.718000173569,N/A,0.75200009346,Dolphins sleep with one eye open.
58,4,3,Share,Learn,Learn,0.591000080109,Do you belong to a religious body,Do you like live music,Do you like live music,1.00699996948,N/A,0.836000204086,I love live music
59,4,2,Learn,Trivia,Trivia,0.555999994278,Animals,People,Animals,0.654000043869,N/A,0.648999929428,Polar bears can eat as many as 86 penguins in a single sitting. (If they lived in the same place)
60,3,1,Share,Learn,Learn,0.621999979019,Do you like camping,Do you have lots of friends,Do you like camping,0.802000045776,N/A,0.615000009537,I like camping
61,3,2,Share,Trivia,Trivia,0.503000020981,Geography,Animals,Animals,57.8050000668,N/A,0.142999887466,Octopuses have four pairs of arms.
62,2,4,Share,Trivia,Share,0.361999988556,Whether I like painting,Whether I like desserts,Whether I like desserts,0.539999961853,2.1264622505,N/A,N/A
63,3,2,Learn,Trivia,Learn,0.401999950409,Do you have an instagram account,Do you have piercings,Do you have piercings,0.786999940872,N/A,2.40899991989,I don't have piercings
64,2,1,Learn,Trivia,Trivia,4.3599998951,Film/Movies,Animals,Animals,0.760999917984,N/A,0.200999975204,The jellyfish is 95% water.
