TrialNumber,LeftAmount,RightAmount,LeftOption,RightOption,WhichSelected,RT,LeftDisplay,RightDisplay,WhichSelected,RT2,HowLongLearnDelay,HowLongToPressReceipt,WhatLearnedFactWas
1,3,1,Share,Trivia,Trivia,0.561000108719,History,Animals,History,0.539000034332,N/A,1.44600009918,The Titanic was the first ship to use the SOS signal.
2,2,2,Learn,Trivia,Trivia,0.529000043869,Animals,Culture,Culture,0.978999853134,N/A,0.263999938965,There are no clocks in Las Vegas casinos.
3,4,1,Share,Trivia,Share,0.618999958038,Whether I own an iPhone,Whether I like my job,Whether I like my job,1.08999991417,1.52468724194,N/A,N/A
4,1,4,Share,Trivia,Trivia,0.799999952316,Culture,Geography,Geography,1.10199999809,N/A,0.283999919891,Antartica is home to almost all of the world's freshwater.
5,1,4,Learn,Trivia,Trivia,0.0300002098083,Geography,Film/Movies,Geography,0.6859998703,N/A,0.302999973297,Antartica is home to almost all of the world's freshwater.
6,4,3,Learn,Trivia,Learn,0.544000148773,Do you like your job,Do you have good eyesight,Do you like your job,0.495000123978,N/A,0.971999883652,I like my job
7,1,4,Share,Learn,Learn,0.0940001010895,Do you have good eyesight,Do you like dessert,Do you have good eyesight,0.660000085831,N/A,0.205000162125,I have good eyesight
8,1,3,Share,Trivia,Share,0.170000076294,Whether I like my job,Whether I like swimming,Whether I like swimming,0.698999881744,1.6790110431,N/A,N/A
9,4,4,Share,Trivia,Share,0.428999900818,Whether I like swimming,Whether I like bicycling,Whether I like swimming,0.726999998093,2.74360277623,N/A,N/A
10,1,3,Share,Trivia,Trivia,0.128000020981,Film/Movies,People,Film/Movies,0.513000011444,N/A,0.273000001907,"For the 1939 movie ""Gone with the Wind"" 1,400 actresses were interviewed for the part of Scarlett."
11,3,2,Share,Trivia,Trivia,0.444000005722,People,Animals,Animals,0.557999849319,N/A,0.768999814987,There has never been a verified snow leopard attack on a human being.
12,4,3,Learn,Trivia,Trivia,0.291999816895,Animals,Film/Movies,Animals,0.694000005722,N/A,0.217000007629,There has never been a verified snow leopard attack on a human being.
13,1,1,Share,Learn,Learn,0.286000013351,Do you like dessert,Do you have hobbies,Do you like dessert,0.565999984741,N/A,0.256000041962,I like dessert
14,2,1,Share,Trivia,Trivia,0.276999950409,Film/Movies,Animals,Animals,0.547000169754,N/A,1.71599984169,An eagle can kill a young deer and fly away with it.
15,3,2,Learn,Trivia,Trivia,18.9839999676,Animals,Culture,Animals,0.568000078201,N/A,0.634000062943,An eagle can kill a young deer and fly away with it.
16,1,1,Share,Learn,Learn,0.278000116348,Do you have hobbies,Do you like chocolate,Do you have hobbies,0.631000041962,N/A,0.408999919891,I have many hobbies
